Empresa: IPANEMA AGRICOLA S.A.                                                                                                                                                                                                   Saldo Fisico dos Itens - 31/05/2014                                                                                                                                                                                         Data de Emissão: 12/06/2014 - 10:21:33;;;;;;;;;;;;;;;;                                                                                                             
Item;Est;Dep;Localização;Lote;Refer.;Validade;Un;Qtd Liquida;Qtd Aloca Fatur;Qtd Aloca Produção;Qtd Aloca Ped Venda;Família;Grupo Estoque;Fator Conc/PPM;Ob;Descrição                                                                                                             
10019;13;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Lanterna Trazeira com Vigia GF173                                                                                                             
10019;14;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Lanterna Trazeira com Vigia GF173                                                                                                             
10023;12;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;CJ Retificador Altb. Mod Novo GA1366                                                                                                             
10023;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;CJ Retificador Altb. Mod Novo GA1366                                                                                                             
10024;13;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Rotor MB 55 A 12 v                                                                                                             
10033;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Kit Completo Alt Bosch MB35 A N9789                                                                                                             
10044;14;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Cabo da embreagem 94647408 D12000                                                                                                             
10048;14;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Correia 13 AV 0895                                                                                                             
10055;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Pistão automatico Wapsa                                                                                                             
10058;12;MAN;;;;;;40,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Terminal redondo 1/4 fio 1 mm 141                                                                                                             
10058;13;MAN;;;;;;96,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Terminal redondo 1/4 fio 1 mm 141                                                                                                             
10058;14;MAN;;;;;;40,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Terminal redondo 1/4 fio 1 mm 141                                                                                                             
10133;13;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Colmeia do Radiador 506 x 666 ( Caminhão).                                                                                                             
10136;14;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Mangueira de Pressão 94643113 D12000                                                                                                             
10141;14;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Cabo Acelerador Chevrolet                                                                                                             
10149;13;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;CAM01;40;0,0000;Ativo;Automatico Auxiliar 12 Volts 9020620 Facobras                                                                                                             
11001;12;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Lamina 2 pontas 2,65mm x 300 mm                                                                                                             
11001;13;MAN;;;;;;44,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Lamina 2 pontas 2,65mm x 300 mm                                                                                                             
11001;14;MAN;;;;;;7,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Lamina 2 pontas 2,65mm x 300 mm                                                                                                             
11006;14;MAN;;;;;;50,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Arruela 5392910210120                                                                                                             
11014;13;MAN;;;;;;5,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tubo Alumínio 42317107110                                                                                                             
11017;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Chapa Arranque 42316424800                                                                                                             
11021;12;MAN;;;;;;30,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Mola 1123 122 3000                                                                                                             
11022;12;MAN;;;;;;40,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Anel Compressão 4137 034 3000                                                                                                             
11025;14;MAN;;;;;;17,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Mola com Haste 0000 998 0612                                                                                                             
11028;12;MAN;;;;;;15,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tampa do Filtro 4137 141 0500                                                                                                             
11028;13;MAN;;;;;;14,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tampa do Filtro 4137 141 0500                                                                                                             
11028;14;MAN;;;;;;1,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tampa do Filtro 4137 141 0500                                                                                                             
11029;14;MAN;;;;;;19,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Peça de Engate 4133 195 7201                                                                                                             
11030;12;MAN;;;;;;6,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carcaça do Ventilador 4137 080 1800                                                                                                             
11030;13;MAN;;;;;;5,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carcaça do Ventilador 4137 080 1800                                                                                                             
11030;14;MAN;;;;;;5,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carcaça do Ventilador 4137 080 1800                                                                                                             
11032;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Gaiola Agulha 20x24x10 9512 003 4620                                                                                                             
11033;13;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Eixo Flexível 41377113200                                                                                                             
11034;12;MAN;;;;;;15,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Módulo Ignição 4137 400 1350                                                                                                             
11034;14;MAN;;;;;;9,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Módulo Ignição 4137 400 1350                                                                                                             
11035;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Polia da Mola do Recuo 4137 190 1100                                                                                                             
11035;13;MAN;;;;;;4,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Polia da Mola do Recuo 4137 190 1100                                                                                                             
11035;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Polia da Mola do Recuo 4137 190 1100                                                                                                             
11037;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Cabo Acelerador 4137 180 1107                                                                                                             
11037;13;MAN;;;;;;12,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Cabo Acelerador 4137 180 1107                                                                                                             
11037;14;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Cabo Acelerador 4137 180 1107                                                                                                             
11044;12;MAN;;;;;;5,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carcaça do Virabreguim 41370202600                                                                                                             
11045;12;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Vedador Mec. com Capa Inox - 918763                                                                                                             
11048;14;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Eixo 42317110900                                                                                                             
11049;13;MAN;;;;;;18,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tubo 07811201109                                                                                                             
11052;13;MAN;;;;;;12,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Elo da Corrente 42317409101                                                                                                             
11052;14;MAN;;;;;;40,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Elo da Corrente 42317409101                                                                                                             
11061;14;MAN;;;;;;2,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Roda Dentada 42316407505                                                                                                             
11068;12;MAN;;;;;;15,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Vela Ignição NGK 00004007000                                                                                                             
11081;14;MAN;;;;;;40,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Rolamento 95030030242                                                                                                             
11086;12;MAN;;;;;;90,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Retentor 96400031195                                                                                                             
11093;12;MAN;;;;;;30,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta de vedação 41371290900                                                                                                             
11093;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta de vedação 41371290900                                                                                                             
11094;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Biela 42316406800                                                                                                             
11097;12;MAN;;;;;;40,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Inserto 41373528105                                                                                                             
11097;14;MAN;;;;;;30,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Inserto 41373528105                                                                                                             
11099;12;MAN;;;;;;70,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Filtro 41371242800                                                                                                             
11099;13;MAN;;;;;;18,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Filtro 41371242800                                                                                                             
11099;14;MAN;;;;;;12,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Filtro 41371242800                                                                                                             
11112;12;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Porca Para Te Plastico 1/2                                                                                                             
11112;13;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Porca Para Te Plastico 1/2                                                                                                             
11112;14;MAN;;;;;;5,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Porca Para Te Plastico 1/2                                                                                                             
11174;12;MAN;;;;;;42,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta do Cilindro 41400292300                                                                                                             
11174;14;MAN;;;;;;34,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta do Cilindro 41400292300                                                                                                             
11175;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta do Silenciador 41371490600                                                                                                             
11175;14;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta do Silenciador 41371490600                                                                                                             
11176;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Junta de Vedação 41371290905                                                                                                             
11184;12;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carburador 41371200611                                                                                                             
11184;14;MAN;;;;;;3,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carburador 41371200611                                                                                                             
11185;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carcaça do Filtro 41371402801                                                                                                             
11185;13;MAN;;;;;;15,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Carcaça do Filtro 41371402801                                                                                                             
11187;12;MAN;;;;;;70,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Pré Filtro 41371241500                                                                                                             
11187;13;MAN;;;;;;21,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Pré Filtro 41371241500                                                                                                             
11190;12;MAN;;;;;;20,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Arrastador 41331902002                                                                                                             
11190;13;MAN;;;;;;16,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Arrastador 41331902002                                                                                                             
11192;12;MAN;;;;;;10,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tambor de Embreagem 41371602900                                                                                                             
11192;13;MAN;;;;;;9,0000;0,0000;0,0000;0,0000;COL01;40;0,0000;Ativo;Tambor de Embreagem 41371602900                                                                                                             
